lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.006,162,,,,,
,162,,,27,0.12648017704486847,1.0
,163,,,27,0.2499997764825821,0.75
,164,,,27,9.708106517791748e-06,1.0
,165,,,27,0.11605525016784668,0.8125
,166,,,27,0.040877893567085266,0.9375
,167,,,27,0.2281423658132553,0.75
,167,0.25595858693122864,0.7083333134651184,27,,
0.0036,168,,,,,
,168,,,28,0.12640532851219177,0.875
,169,,,28,0.12503814697265625,1.0
,170,,,28,0.0013157129287719727,1.0
,171,,,28,0.09517057985067368,1.0
,172,,,28,0.2960333228111267,1.0
,173,,,28,1.4379620552062988e-06,1.0
,173,0.27647510170936584,0.6666666865348816,28,,
0.0036,174,,,,,
,174,,,29,0.03820839524269104,1.0
,175,,,29,0.12504488229751587,1.0
,176,,,29,3.042072057723999e-05,1.0
,177,,,29,0.16800592839717865,0.9375
,178,,,29,0.06386543810367584,1.0
,179,,,29,0.04306747764348984,0.875
,179,0.292041152715683,0.625,29,,
0.0036,180,,,,,
,180,,,30,0.26223939657211304,0.875
,181,,,30,0.25027889013290405,0.875
,182,,,30,0.12757828831672668,0.875
,183,,,30,0.12308347970247269,0.875
,184,,,30,0.09479077905416489,0.75
,185,,,30,0.07655823230743408,1.0
,185,0.2643651068210602,0.7083333134651184,30,,
0.0036,186,,,,,
,186,,,31,0.13370192050933838,0.875
,187,,,31,0.008558869361877441,0.9375
,188,,,31,0.1331474483013153,1.0
,189,,,31,0.0,1.0
,190,,,31,0.16357117891311646,0.75
,191,,,31,0.052810490131378174,0.875
,191,0.2711831033229828,0.6666666865348816,31,,
0.0036,192,,,,,
,192,,,32,0.07773227989673615,1.0
,193,,,32,0.021014675498008728,1.0
,194,,,32,0.2069397270679474,0.875
,195,,,32,0.04413270950317383,0.9375
,196,,,32,0.00027499347925186157,1.0
,197,,,32,0.12504011392593384,1.0
,197,0.31191524863243103,0.6666666865348816,32,,
0.0036,198,,,,,
,198,,,33,0.14234082400798798,0.875
,199,,,33,0.026227369904518127,0.9375
,200,,,33,0.11225888133049011,0.75
,201,,,33,0.11964771151542664,0.9375
