lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
,142,,,28,0.16872619092464447,0.75
,143,,,28,0.15963177382946014,0.875
,144,,,28,0.10441092401742935,0.875
,144,0.4684416353702545,0.5333333611488342,28,,
0.0036,145,,,,,
,145,,,29,0.12766075134277344,0.875
,146,,,29,0.18749630451202393,0.875
,147,,,29,0.07757750153541565,1.0
,148,,,29,0.00044083595275878906,1.0
,149,,,29,0.2047436684370041,0.875
,149,0.48072418570518494,0.5333333611488342,29,,
0.0036,150,,,,,
,150,,,30,0.2496914267539978,0.875
,151,,,30,0.019612155854701996,1.0
,152,,,30,0.2156577706336975,0.875
,153,,,30,0.06696687638759613,1.0
,154,,,30,0.062623992562294,1.0
,154,0.4811572730541229,0.5333333611488342,30,,
0.0036,155,,,,,
,155,,,31,0.1882171779870987,0.875
,156,,,31,0.2320445477962494,0.75
,157,,,31,0.025531433522701263,1.0
,158,,,31,2.9802322387695312e-08,1.0
,159,,,31,0.09994758665561676,0.875
,159,0.4783235192298889,0.5333333611488342,31,,
0.0036,160,,,,,
,160,,,32,0.1384676992893219,0.8125
,161,,,32,2.3692846298217773e-05,1.0
,162,,,32,0.021498560905456543,1.0
,163,,,32,0.0008173882961273193,1.0
,164,,,32,0.0625000074505806,1.0
,164,0.5085609555244446,0.46666666865348816,32,,
0.0036,165,,,,,
,165,,,33,0.14157211780548096,0.8125
,166,,,33,0.24861863255500793,0.75
,167,,,33,0.06756412982940674,1.0
,168,,,33,0.125,1.0
,169,,,33,0.09435227513313293,0.875
,169,0.5335115790367126,0.46666666865348816,33,,
0.00216,170,,,,,
,170,,,34,0.0625,1.0
,171,,,34,0.0008377060294151306,1.0
,172,,,34,0.12499925494194031,0.875
,173,,,34,0.0008166134357452393,1.0
,174,,,34,0.17852923274040222,0.875
,174,0.54018634557724,0.46666666865348816,34,,
0.00216,175,,,,,
,175,,,35,0.06472039967775345,1.0
,176,,,35,0.31130290031433105,0.75
,177,,,35,0.1221647784113884,0.875
,178,,,35,0.06251276284456253,1.0
,179,,,35,0.008348830044269562,1.0
,179,0.5365471243858337,0.46666666865348816,35,,
0.00216,180,,,,,
,180,,,36,0.0425865575671196,0.875
,181,,,36,0.12595343589782715,1.0
,182,,,36,0.18751397728919983,0.875
,183,,,36,0.06410689651966095,1.0
,184,,,36,0.12294217199087143,0.875
,184,0.5308894515037537,0.46666666865348816,36,,
0.00216,185,,,,,
,185,,,37,0.06250064820051193,1.0
,186,,,37,0.2497088760137558,0.875
,187,,,37,0.1871870905160904,0.875
,188,,,37,0.1875007599592209,0.875
,189,,,37,0.08786143362522125,1.0
,189,0.5289822816848755,0.46666666865348816,37,,
0.00216,190,,,,,
,190,,,38,0.298219233751297,0.75
,191,,,38,0.1676621288061142,0.875
,192,,,38,0.19942933320999146,0.875
,193,,,38,0.1250000149011612,1.0
,194,,,38,0.12500134110450745,1.0
,194,0.5325791239738464,0.46666666865348816,38,,
0.00216,195,,,,,
,195,,,39,0.3142319321632385,0.875
,196,,,39,0.06250530481338501,1.0
,197,,,39,0.2632833421230316,0.75
,198,,,39,0.1800704002380371,0.875
,199,,,39,0.0625,1.0
,199,0.5320352911949158,0.46666666865348816,39,,
