lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
0.01,0,,,,,
,4,0.18289893865585327,0.800000011920929,0,,
0.01,5,,,,,
,9,0.18243394792079926,0.800000011920929,1,,
0.01,10,,,,,
,14,0.16584935784339905,0.8666666746139526,2,,
0.01,15,,,,,
,19,0.17876678705215454,0.7666666507720947,3,,
0.01,20,,,,,
,24,0.20824511349201202,0.7333333492279053,4,,
0.01,25,,,,,
,29,0.2995929419994354,0.6000000238418579,5,,
0.01,30,,,,,
,34,0.1913483589887619,0.800000011920929,6,,
0.01,35,,,,,
,39,0.22411686182022095,0.7333333492279053,7,,
0.01,40,,,,,
,44,0.2095293402671814,0.7333333492279053,8,,
0.01,45,,,,,
,49,,,9,0.22038361430168152,0.625
,49,0.19628728926181793,0.7666666507720947,9,,
0.01,50,,,,,
,54,0.21987535059452057,0.7666666507720947,10,,
0.01,55,,,,,
,59,0.17033211886882782,0.6666666865348816,11,,
0.01,60,,,,,
,64,0.21958975493907928,0.7333333492279053,12,,
0.01,65,,,,,
,65,,,13,0.17898741364479065,0.875
,66,,,13,0.09441042691469193,1.0
,67,,,13,0.15709911286830902,0.875
,68,,,13,0.12484315037727356,0.875
,69,,,13,0.056728512048721313,0.875
,69,0.27182164788246155,0.7333333492279053,13,,
0.006,70,,,,,
,70,,,14,0.06496339291334152,1.0
,71,,,14,0.18666693568229675,0.75
,72,,,14,0.1365426927804947,0.875
,73,,,14,0.009727239608764648,1.0
,74,,,14,0.1358788013458252,0.875
,74,0.4348489046096802,0.5333333611488342,14,,
0.006,75,,,,,
,75,,,15,0.057021476328372955,0.875
,76,,,15,0.0625,1.0
,77,,,15,0.4587518870830536,0.625
,78,,,15,0.07250355929136276,1.0
,79,,,15,0.23092032968997955,0.75
,79,0.4351290166378021,0.5333333611488342,15,,
0.006,80,,,,,
,80,,,16,0.14899694919586182,0.875
,81,,,16,0.2731226682662964,0.625
,82,,,16,0.03550468385219574,1.0
,83,,,16,0.25030630826950073,0.75
,84,,,16,0.06330709159374237,1.0
,84,0.2625678479671478,0.6666666865348816,16,,
0.006,85,,,,,
,85,,,17,0.0411362424492836,1.0
,86,,,17,0.19576285779476166,0.625
,87,,,17,0.13199648261070251,0.875
,88,,,17,0.03355615586042404,1.0
,89,,,17,0.1552462875843048,0.875
,89,0.2143501192331314,0.7333333492279053,17,,
0.006,90,,,,,
,90,,,18,0.1558232605457306,0.6875
,91,,,18,0.19779929518699646,0.8125
,92,,,18,0.09344655275344849,1.0
,93,,,18,0.010847829282283783,1.0
,94,,,18,0.01166176050901413,1.0
,94,0.21619321405887604,0.7333333492279053,18,,
0.006,95,,,,,
,95,,,19,0.11221729218959808,0.875
,96,,,19,0.15659484267234802,0.75
,97,,,19,0.09884418547153473,1.0
,98,,,19,0.208247572183609,0.875
,99,,,19,0.26410722732543945,0.9375
,99,0.2290920615196228,0.7333333492279053,19,,
0.006,100,,,,,
,100,,,20,0.000355355441570282,1.0
,101,,,20,0.17914800345897675,0.75
,102,,,20,0.3002850413322449,0.75
,103,,,20,0.19380967319011688,0.875
,104,,,20,0.1140003651380539,0.875
,104,0.3089244067668915,0.6666666865348816,20,,
0.006,105,,,,,
,105,,,21,0.1875,1.0
,106,,,21,0.12787407636642456,0.875
,107,,,21,0.13314732909202576,0.875
,108,,,21,0.03293599188327789,0.9375
,109,,,21,0.12269958108663559,0.875
,109,0.3148635923862457,0.6333333253860474,21,,
0.006,110,,,,,
,110,,,22,0.217244952917099,0.875
,111,,,22,0.0890623927116394,1.0
,112,,,22,0.27649813890457153,0.625
,113,,,22,0.07958339154720306,0.875
,114,,,22,0.15958930552005768,0.75
